,Sex,Race/Ethnicity,Age Group,Year,Injuries,Population,Female,Male,Black,Hispanic,Other Non-Hispanic,White Non-Hispanice,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
275,Female,White Non-Hispanice,00-04,2018,0,4987945,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Female,Black,00-04,2018,0,1665082,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Female,Hispanic,00-04,2018,0,2361861,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Female,Other Non-Hispanic,00-04,2018,0,663185,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Male,White Non-Hispanice,05-09,2001,0,6289931,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Male,Black,05-09,2001,0,1717976,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Male,Hispanic,05-09,2001,0,1796530,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Male,Other Non-Hispanic,05-09,2001,0,524627,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Female,White Non-Hispanice,05-09,2001,0,5954834,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Female,Black,05-09,2001,0,1663799,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Female,Hispanic,05-09,2001,0,1718307,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Female,Other Non-Hispanic,05-09,2001,0,507358,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Male,White Non-Hispanice,05-09,2002,0,6148289,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Male,Black,05-09,2002,0,1682240,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Male,Hispanic,05-09,2002,0,1814919,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,Male,Other Non-Hispanic,05-09,2002,0,527234,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Female,White Non-Hispanice,05-09,2002,0,5822806,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Female,Black,05-09,2002,0,1627382,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Female,Hispanic,05-09,2002,0,1735169,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Female,Other Non-Hispanic,05-09,2002,0,514378,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Male,White Non-Hispanice,05-09,2003,0,6028687,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Male,Black,05-09,2003,0,1648461,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
